;Assets $;Market value $;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time;pixels;Proft_%_Revenues
127;22,088;34,973;22,304;8,081;Emerson Electric;TRUE;0;15;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;18.6;Very Confusing;213;280;761;www.emerson.com;1;216;217;0;0;0;0;0;80;11;0;0;91;0.392;5745168;7.1
128;54,6;67,332;21,813;20,702;Union Pacific;TRUE;0;14;7;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;45.4;Difficult;122;89;384;www.up.com;7;131;138;0;0;0;0;0;7;4;0;0;11;0.18;2101342;-1.3
129;71,576;112,761;21,662;28,083;Amgen;TRUE;0;70;13;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;38.3;Difficult;387;319;1260;www.amgen.com;12;308;320;0;0;0;0;0;0;1;0;0;1;1.223;12823979;9.9
130;421,853;70,518;21,494;46,131;U.S. Bancorp;TRUE;0;32;9;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;63.9;Standard;317;106;809;www.usbank.com;20;139;159;0;0;4;0;0;12;12;13;0;41;0.084;4136023;-16.0
131;10,172;7,123;21,059;5,376;Staples;TRUE;0;995;5;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;52.7;Fairly difficult;816;382;2035;www.staples.com;3;721;724;0;0;7;0;0;2;6;8;0;23;0.334;23311873;5.9
132;48,222;65,184;20,909;23,69;Danaher;TRUE;1;0;0;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;49.3;Difficult;53;67;282;www.danaher.com;6;75;81;0;0;1;1;0;0;13;2;0;17;0.352;5372885;7.0
133;19,01;13,945;20,891;4,743;Whirlpool;TRUE;1;0;0;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;59.1;Fairly difficult;123;54;417;www.whirlpoolcorp.com;10;96;106;0;0;1;0;0;16;12;0;0;29;0.33;4856296;4.6
134;118,296;26,458;20,872;17,708;Aflac;TRUE;0;11;1;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;31.7;Difficult;83;61;310;www.aflac.com;8;35;43;0;0;0;0;0;4;15;1;0;20;0.141;1898322;-0.4
135;9,558;4,813;20,862;2,349;AutoNation;TRUE;1;0;0;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.autonation.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;770989;4.5
136;29,819;20,487;20,854;7,289;Progressive;TRUE;0;62;16;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;54.8;Fairly difficult;246;184;930;www.progressive.com;106;106;212;0;0;2;0;0;1;4;0;0;7;0.019;4576371;-7.8
137;41,247;61,626;20,661;21,211;Abbott Laboratories;TRUE;0;13;7;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;62.7;Standard;140;61;603;www.abbott.com;6;65;71;0;0;2;0;0;153;16;1;0;172;0.122;5881307;-9.4
138;11,258;24,522;20,369;5,378;Dollar General;TRUE;0;27;5;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;68.7;Standard;176;84;790;www.dollargeneral.com;16;304;320;0;0;8;0;0;64;16;1;0;89;0.445;10446878;6.9
139;23,682;2,871;20,111;691;Tenet Healthcare;TRUE;0;31;5;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;69.2;Standard;115;52;406;www.tenethealth.com;13;75;88;0;0;0;1;1;15;2;0;0;19;0.368;2410706;7.3
