Range;Company;site;loading.time
348;Oneok;http://www.oneok.com;0,347
349;Newmont Mining;http://www.newmont.com;0,588
350;PPL;http://www.pplweb.com;0,023
351;SpartanNash;http://www.spartannash.com;0,316
352;Quanta Services;http://www.quantaservices.com;0,182
353;XPO Logistics;http://www.xpo.com;0,026
354;Ralph Lauren;http://www.ralphlauren.com;0,043
355;Interpublic Group;http://www.interpublic.com;0,626
356;Steel Dynamics;http://www.steeldynamics.com;0,188
357;WESCO International;http://www.wesco.com;0,01
358;Quest Diagnostics;http://www.questdiagnostics.com;0,098
359;Boston Scientific;http://www.bostonscientific.com;0,333
360;AGCO;http://www.agcocorp.com;0,165
361;Foot Locker;http://www.footlocker-inc.com;0
362;Hershey;http://www.thehersheycompany.com;0,133
363;CenterPoint Energy;http://www.centerpointenergy.com;0,079
365;Dick’s Sporting Goods;http://www.dickssportinggoods.com;0,093
366;Live Nation Entertainment;http://www.livenation.com;0,082
367;Mutual of Omaha Insurance;http://www.mutualofomaha.com;0,458
368;W.R. Berkley;http://www.wrberkley.com;0,115
369;LKQ;http://www.lkqcorp.com;0,768
370;Avon Products;http://www.avoncompany.com;0,148
371;Darden Restaurants;http://www.darden.com;0,416
372;Kindred Healthcare;http://www.kindredhealthcare.com;0,539
373;Weyerhaeuser;http://www.weyerhaeuser.com;0,772
374;Casey’s General Stores;http://www.caseys.com;0,193
375;Sealed Air;http://www.sealedair.com;0,216
376;Fifth Third Bancorp;http://www.53.com;0,366
377;Dover;http://www.dovercorporation.com;0,52
378;Huntington Ingalls Industries;http://www.huntingtoningalls.com;0,339
379;Netflix;http://www.netflix.com;0,963
380;Dillard’s;http://www.dillards.com;0,17
381;EMCOR Group;http://www.emcorgroup.com;0,263
382;Jones Financial;http://www.edwardjones.com;0,475
383;AK Steel Holding;http://www.aksteel.com;0,171
384;UGI;http://www.ugicorp.com;0,242
385;Expedia;http://www.expediainc.com;0,68
386;salesforce.com;http://www.salesforce.com;0,488
387;Targa Resources;http://www.targaresources.com;0,215
388;Apache;http://www.apachecorp.com;0,006
389;Spirit AeroSystems Holdings;http://www.spiritaero.com;0,519
390;Expeditors International of Washington;http://www.expeditors.com;0,481
391;Anixter International;http://www.anixter.com;0,56
392;Fidelity National Information Services;http://www.fisglobal.com;0,946
393;Asbury Automotive Group;http://www.asburyauto.com;0,006
394;Hess;http://www.hess.com;0,641
395;Ryder System;http://www.ryder.com;0,954
396;Terex;http://www.terex.com;0
397;Coca-Cola European Partners;http://www.cokecce.com;0,146
399;Cablevision Systems;http://www.cablevision.com;0,503
400;Symantec;http://www.symantec.com;0,188
401;Charles Schwab;http://www.aboutschwab.com;0,179
402;Calpine;http://www.calpine.com;0,531
403;CMS Energy;http://www.cmsenergy.com;0,385
404;Alliance Data Systems;http://www.alliancedata.com;0,306
405;JetBlue Airways;http://www.jetblue.com;0,154
406;Discovery Communications;http://www.discoverycommunications.com;0,316
407;Trinity Industries;http://www.trin.net;0,224
408;Sanmina;http://www.sanmina.com;0,001
409;NCR;http://www.ncr.com;0,339
410;FMC Technologies;http://www.fmctechnologies.com;0,549
411;Erie Insurance Group;http://www.erieinsurance.com;0,504
412;Rockwell Automation;http://www.rockwellautomation.com;0,158
413;Dr Pepper Snapple Group;http://www.drpeppersnapplegroup.com;0,212
414;iHeartMedia;http://www.iheartmedia.com;0,594
416;J.B. Hunt Transport Services;http://www.jbhunt.com;0,388
418;Owens-Illinois;http://www.o-i.com;0,294
419;Harman International Industries;http://www.harman.com;0,532
420;Baxalta;http://www.baxalta.com;0,511
421;American Financial Group;http://www.afginc.com;0,012
422;NetApp;http://www.netapp.com;0,075
423;Graybar Electric;http://www.graybar.com;0,945
424;Oshkosh;http://www.oshkoshcorporation.com;0,002
425;Ameren;http://www.ameren.com;0,519
426;A-Mark Precious Metals;http://www.amark.com;0,72
427;Barnes & Noble;http://www.barnesandnobleinc.com;0,3
428;Dana Holding;http://www.dana.com;0,15
429;Constellation Brands;http://www.cbrands.com;0,006
430;LifePoint Health;http://www.lifepointhealth.net;0,008
431;Zimmer Biomet Holdings;http://www.zimmerbiomet.com;0,023
432;Harley-Davidson;http://www.harley-davidson.com;0,161
433;PulteGroup;http://www.pultegroupinc.com;0,025
434;Newell Brands;http://www.newellbrands.com;0,143
435;Avery Dennison;http://www.averydennison.com;0,092
436;Jones Lang LaSalle;http://www.jll.com;0,226
