range;company;facebook;twitter;instagram;pinterest;youtube
416;J.B. Hunt Transport Services;YES;YES;NO;NO;YES;
418;Owens-Illinois;NO;NO;NO;NO;NO;
419;Harman International Industries;YES;YES;NO;YES;YES;
420;Baxalta;NO;NO;NO;NO;YES;
421;American Financial Group;YES;YES;NO;NO;YES;
422;NetApp;YES;YES;NO;NO;YES;
423;Graybar Electric;YES;NO;NO;NO;NO;
424;Oshkosh;YES;NO;NO;NO;NO;
425;Ameren;YES;YES;NO;NO;NO;
426;A-Mark Precious Metals;NO;NO;NO;NO;NO;
427;Barnes & Noble;NO;NO;NO;NO;NO;
428;Dana Holding;YES;YES;NO;NO;YES;
429;Constellation Brands;NO;NO;NO;NO;NO;
430;LifePoint Health;NO;YES;NO;NO;NO;
431;Zimmer Biomet Holdings;YES;YES;NO;NO;YES;
432;Harley-Davidson;NO;YES;NO;NO;NO;
433;PulteGroup;NO;NO;NO;NO;NO;
434;Newell Brands;YES;YES;YES;NO;YES;
435;Avery Dennison;YES;YES;YES;NO;YES;
436;Jones Lang LaSalle;YES;YES;NO;NO;YES;
437;WEC Energy Group;NO;YES;NO;NO;YES;
438;Marathon Oil;NO;YES;YES;NO;YES;
439;TravelCenters of America;NO;NO;NO;NO;NO;
440;United Rentals;YES;YES;NO;NO;YES;
441;HRG Group;NO;NO;NO;NO;NO;
443;Windstream Holdings;NO;NO;NO;NO;NO;
444;Starwood Hotels & Resorts;NO;NO;NO;NO;NO;
445;Delek US Holdings;NO;NO;NO;NO;NO;
446;Packaging Corp. of America;YES;YES;NO;NO;NO;
447;Quintiles Transnational Holdings;YES;YES;NO;NO;YES;
448;Hanesbrands;NO;NO;NO;NO;NO;
449;Realogy Holdings;YES;YES;NO;NO;YES;
450;Mattel;NO;NO;NO;NO;NO;
451;Motorola Solutions;NO;NO;NO;NO;NO;
452;J.M. Smucker;NO;NO;NO;NO;NO;
453;Regions Financial;YES;YES;NO;YES;NO;
454;Celanese;YES;YES;NO;NO;YES;
455;Clorox;YES;YES;YES;NO;YES;
456;Ingredion;NO;NO;NO;NO;NO;
457;Genesis Healthcare;YES;NO;NO;NO;NO;
458;Peabody Energy;YES;YES;NO;NO;YES;
459;Alaska Air Group;YES;YES;YES;NO;YES;
460;Seaboard;NO;YES;NO;NO;NO;
461;Frontier Communications;YES;YES;NO;NO;YES;
462;Amphenol;NO;NO;NO;NO;NO;
463;Lansing Trade Group;YES;YES;NO;NO;NO;
464;SanDisk;NO;NO;NO;NO;NO;
466;Wyndham Worldwide;YES;YES;NO;NO;YES;
467;Kelly Services;YES;YES;NO;NO;YES;
468;Western Union;YES;YES;NO;NO;YES;
469;Envision Healthcare Holdings;NO;NO;NO;NO;NO;
470;Visteon;YES;YES;YES;NO;YES;
471;Arthur J. Gallagher;YES;YES;NO;NO;NO;
472;Host Hotels & Resorts;NO;NO;NO;NO;NO;
473;Ashland;YES;YES;NO;NO;YES;
474;Insight Enterprises;YES;YES;NO;NO;YES;
475;Energy Future Holdings;NO;YES;YES;NO;NO;
476;Markel;NO;NO;NO;NO;NO;
477;Essendant;NO;NO;NO;NO;NO;
478;CH2M Hill;YES;YES;YES;NO;YES;
479;Western & Southern Financial Group;YES;YES;NO;NO;YES;
480;Owens Corning;YES;YES;NO;NO;YES;
481;S&P Global;YES;YES;NO;NO;YES;
482;Raymond James Financial;YES;YES;NO;NO;NO;
483;NiSource;YES;YES;NO;NO;NO;
484;Airgas;NO;YES;NO;NO;NO;
485;ABM Industries;YES;YES;NO;NO;YES;
486;Citizens Financial Group;YES;YES;NO;NO;YES;
487;Booz Allen Hamilton Holding;YES;YES;NO;NO;NO;
488;Simon Property Group;YES;YES;YES;NO;YES;
489;Domtar;NO;NO;NO;NO;NO;
490;Rockwell Collins;YES;YES;YES;NO;YES;
491;Lam Research;YES;YES;NO;NO;YES;
492;Fiserv;YES;YES;NO;NO;NO;
493;Spectra Energy;YES;YES;NO;NO;YES;
494;Navient;NO;NO;NO;NO;NO;
495;Big Lots;YES;YES;YES;YES;YES;
496;Telephone & Data Systems;YES;YES;NO;NO;NO;
497;First American Financial;YES;YES;NO;NO;YES;
498;NVR;YES;YES;YES;YES;YES;
499;Cincinnati Financial;YES;NO;NO;NO;NO;
500;Burlington Stores;YES;YES;YES;YES;YES;
