range;company;</title>;</html>;</body>;</div>;</span>;Correct
434;Newell Brands;YES;YES;YES;NO;YES;NO
435;Avery Dennison;YES;YES;YES;YES;YES;YES
436;Jones Lang LaSalle;YES;NO;YES;YES;YES;NO
437;WEC Energy Group;YES;YES;YES;YES;YES;YES
438;Marathon Oil;YES;NO;YES;NO;YES;NO
439;TravelCenters of America;YES;YES;YES;YES;YES;YES
440;United Rentals;YES;YES;YES;YES;YES;YES
441;HRG Group;YES;YES;YES;YES;YES;YES
443;Windstream Holdings;YES;NO;YES;NO;YES;NO
444;Starwood Hotels & Resorts;YES;YES;YES;YES;YES;YES
445;Delek US Holdings;YES;YES;YES;YES;YES;YES
446;Packaging Corp. of America;YES;YES;YES;NO;YES;NO
447;Quintiles Transnational Holdings;YES;YES;YES;YES;YES;YES
448;Hanesbrands;YES;YES;YES;NO;YES;NO
449;Realogy Holdings;YES;YES;YES;NO;YES;NO
450;Mattel;YES;YES;YES;NO;YES;NO
451;Motorola Solutions;YES;NO;YES;YES;YES;NO
452;J.M. Smucker;YES;NO;YES;YES;YES;NO
453;Regions Financial;YES;NO;YES;YES;YES;NO
454;Celanese;YES;NO;YES;YES;YES;NO
455;Clorox;YES;YES;YES;YES;YES;YES
456;Ingredion;YES;YES;YES;YES;YES;YES
457;Genesis Healthcare;YES;YES;YES;YES;YES;YES
458;Peabody Energy;YES;YES;YES;YES;YES;YES
459;Alaska Air Group;YES;YES;NO;YES;YES;NO
460;Seaboard;YES;YES;YES;YES;YES;YES
461;Frontier Communications;YES;YES;YES;YES;YES;YES
462;Amphenol;YES;YES;YES;YES;YES;YES
463;Lansing Trade Group;YES;YES;YES;YES;YES;YES
464;SanDisk;YES;YES;YES;YES;YES;YES
466;Wyndham Worldwide;YES;NO;YES;YES;YES;NO
467;Kelly Services;YES;YES;YES;YES;NO;NO
468;Western Union;YES;NO;YES;YES;YES;NO
469;Envision Healthcare Holdings;YES;YES;YES;YES;YES;YES
470;Visteon;YES;YES;YES;NO;NO;NO
471;Arthur J. Gallagher;YES;NO;YES;YES;YES;NO
472;Host Hotels & Resorts;YES;YES;YES;YES;YES;YES
473;Ashland;YES;YES;YES;YES;NO;NO
474;Insight Enterprises;YES;NO;NO;YES;YES;NO
475;Energy Future Holdings;YES;YES;YES;YES;NO;NO
476;Markel;YES;YES;YES;YES;YES;YES
477;Essendant;YES;YES;YES;YES;YES;YES
478;CH2M Hill;YES;YES;YES;YES;YES;YES
479;Western & Southern Financial Group;YES;NO;YES;NO;YES;NO
480;Owens Corning;YES;NO;YES;YES;NO;NO
481;S&P Global;YES;YES;YES;YES;YES;YES
482;Raymond James Financial;YES;NO;YES;NO;YES;NO
483;NiSource;YES;YES;YES;YES;YES;YES
484;Airgas;YES;YES;YES;YES;YES;YES
485;ABM Industries;YES;NO;YES;YES;YES;NO
486;Citizens Financial Group;YES;NO;YES;YES;YES;NO
487;Booz Allen Hamilton Holding;YES;NO;YES;YES;YES;NO
