range;Company;Site;Loading times;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total_images;total_words;unique_words;totallinks;external_links;internal_links;</title>;</html>;</body>;</div>;</span>;Correct_html;facebook;twitter;instagram;pinterest;youtube;loading.time
146;Starbucks;www.starbucks.com;0,167;12;0;16;1;0;1;26;2;0;58;1230;561;375;26;349;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,167
147;Paccar;www.paccar.com;0,42;14;0;13;0;0;0;1;0;0;28;512;171;169;0;169;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,42
148;Cummins;www.cummins.com;0,125;4;0;0;0;0;1;1;0;0;6;864;470;213;10;203;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,125
149;Altria Group;www.altria.com;0,088;17;0;8;0;0;0;1;6;0;32;1136;501;251;1;250;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,088
150;Xerox;www.xerox.com;0,108;5;0;67;0;0;0;1;7;0;80;1179;433;185;127;58;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,108
151;Kimberly-Clark;www.kimberly-clark.com;0,065;7;0;16;0;0;0;3;4;0;30;423;233;56;4;52;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,065
152;Hartford Financial Services Group;www.thehartford.com;0,042;14;0;7;0;0;0;0;0;0;21;642;230;123;59;64;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,042
153;Kraft Heinz;www.kraftheinzcompany.com;0,203;7;0;6;0;0;0;0;0;0;13;326;190;61;3;58;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,203
154;Lear;www.lear.com;1,147;16;0;6;0;0;0;0;1;0;23;691;275;407;5;402;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;1,147
155;Fluor;www.fluor.com;0,323;18;0;74;0;0;0;9;3;0;104;655;266;153;2;151;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;YES;0,323
